;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
2004;6780680.4799999995;6429238.2799999975;6600338.159999999;6809006.55;6477341.35;6291091.439999999;6292471.02;6304477.139999999;6604390.050000001;6606513.999999999;6631190.279999998;6643371.329999998
2005;7118537.829999999;6758333.180000001;6865215.669999999;7131738.16;6718147.449999998;6781275.739999998;6644820.5;6704674.960000003;6949354.66;6917987.29;6976441.220000001;7077729.79
2006;7167632.08;7131815.549999998;7408516.95;7229825.780000002;6933355.68;6963592.809999999;6892915.389999999;6939971.699999999;7128370.580000001;7182235.960000001;7438708.479999999;7366884.799999999
2007;7710353.0;7392941.0;7594317.0;7728826.0;7491488.0;7204161.0;7071277.0;7344516.0;7449312.0;7511776.0;7768281.0;7618124.0
2008;8134240.7;7958717.0;7693600.9;7754681.1;7933880.7;7621230.4;7653505.2;7880631.6;7815707.9;8119784.8;8237719.1;7942689.4
2009;8604549.0;8149451.0;8489683.0;8472103.0;8188290.0;7909294.0;8104911.0;8402964.0;8416801.0;8525741.0;8635752.0;8876631.0
2010;9235076.0;8912339.0;9152747.0;9150250.0;8708999.0;8675796.0;8447539.0;8812297.0;8903996.0;8951048.0;8962739.0;9301844.0
2011;9810199.0;9405182.0;9507847.0;9236686.0;9137821.0;8867816.0;9128445.0;9201316.0;9523959.0;9364967.0;9303323.0;9483105.0
2012;9800235.55;9704924.77;10270603.42;9928135.47;9532019.14;9604889.5;9274297.07;9621636.85;9748529.22;9787981.07;10239385.17;10133212.3
2013;10924885.0;10474529.0;10356996.0;10301585.0;10241914.0;10092191.0;10022335.0;10280497.0;10251165.0;10545296.0;10710888.0;10705681.0
2014;11798319.0;11878858.0;11288501.0;10780340.0;10877148.0;10321869.0;10656938.0;10440492.0;10575615.0;11140609.0;11382391.0;11160770.0
2015;12558302.07;11780261.0;11098110.0;10889663.0;10541785.0;10112848.0;10110752.0;10312915.0;10436503.0;11133353.0;11131741.0;11083535.0
2016;11830096.0;11351945.0;11316243.0;11782473.0;10932332.0;10613953.0;10380620.0;10427772.0;10890071.0;10855564.0;11133955.0;11357061.0
2017;11905635.0;11369668.0;12148953.0;11135480.0;10939059.0;10790711.0;10428729.0;10475249.0;11096707.0;11174696.0;11462132.0;11441479.0
2018;11957246.490000002;11658888.430000002;11950323.67;11932953.14;11400720.669999998;11066195.599999996;10790601.66;10808782.580000002;11129561.609999998;11526904.870000003;11758805.840000002;11633959.570000002
2019;12938073.15;12626667.780000003;12384049.919999996;11569458.550000003;11926593.649999997;11050316.560000002;10952285.85;10987004.139;11379178.960000003;11973113.88;12423678.160000002;12200705.990000002
2020;12908508.549999997;12383228.639999999;12431859.350000005;12318358.18;11755901.769999994;11395964.930000005;11706528.429999998;11851775.820000002;12240388.310000002;13090078.259999996;12777893.449999996;13312692.069999995
2021;13654031.42;12875837.51;13256387.510000005;13358894.949999994;11974093.18;12000079.239999996;11700591.119999997;11836597.579999998;12596417.980000006;12538159.050000003;12377506.170000004;13084842.929999998
2022;13069831.970000004;13024936.690000001;13924000.290000001;12884804.030000003;12288895.47;11928166.03;11989129.67;12087966.999999996;12506523.940000001;12608031.22;12951891.43;13690417.149999999
