data;valor;dia;mes;ano;ano_mes
01/01/2004;98.59;1;1;2004;2004_1
01/02/2004;99.45;1;2;2004;2004_2
01/03/2004;111.98;1;3;2004;2004_3
01/04/2004;107.36;1;4;2004;2004_4
01/05/2004;106.03;1;5;2004;2004_5
01/06/2004;107.0;1;6;2004;2004_6
01/07/2004;111.47;1;7;2004;2004_7
01/08/2004;110.65;1;8;2004;2004_8
01/09/2004;109.21;1;9;2004;2004_9
01/10/2004;108.89;1;10;2004;2004_10
01/11/2004;109.59;1;11;2004;2004_11
01/12/2004;107.56;1;12;2004;2004_12
01/01/2005;103.52;1;1;2005;2005_1
01/02/2005;104.0;1;2;2005;2005_2
01/03/2005;115.42;1;3;2005;2005_3
01/04/2005;112.35;1;4;2005;2005_4
01/05/2005;110.86;1;5;2005;2005_5
01/06/2005;111.5;1;6;2005;2005_6
01/07/2005;113.15;1;7;2005;2005_7
01/08/2005;115.15;1;8;2005;2005_8
01/09/2005;110.95;1;9;2005;2005_9
01/10/2005;111.33;1;10;2005;2005_10
01/11/2005;111.73;1;11;2005;2005_11
01/12/2005;111.25;1;12;2005;2005_12
01/01/2006;108.55;1;1;2006;2006_1
01/02/2006;107.8;1;2;2006;2006_2
01/03/2006;119.09;1;3;2006;2006_3
01/04/2006;112.61;1;4;2006;2006_4
01/05/2006;117.19;1;5;2006;2006_5
01/06/2006;114.4;1;6;2006;2006_6
01/07/2006;119.41;1;7;2006;2006_7
01/08/2006;121.06;1;8;2006;2006_8
01/09/2006;116.21;1;9;2006;2006_9
01/10/2006;119.33;1;10;2006;2006_10
01/11/2006;118.67;1;11;2006;2006_11
01/12/2006;116.3;1;12;2006;2006_12
01/01/2007;114.79;1;1;2007;2007_1
01/02/2007;113.33;1;2;2007;2007_2
01/03/2007;125.11;1;3;2007;2007_3
01/04/2007;120.29;1;4;2007;2007_4
01/05/2007;123.9;1;5;2007;2007_5
01/06/2007;122.38;1;6;2007;2007_6
01/07/2007;127.85;1;7;2007;2007_7
01/08/2007;129.05;1;8;2007;2007_8
01/09/2007;123.24;1;9;2007;2007_9
01/10/2007;129.17;1;10;2007;2007_10
01/11/2007;125.88;1;11;2007;2007_11
01/12/2007;122.43;1;12;2007;2007_12
01/01/2008;121.86;1;1;2008;2008_1
01/02/2008;121.91;1;2;2008;2008_2
01/03/2008;128.99;1;3;2008;2008_3
01/04/2008;129.48;1;4;2008;2008_4
01/05/2008;128.92;1;5;2008;2008_5
01/06/2008;130.59;1;6;2008;2008_6
01/07/2008;136.53;1;7;2008;2008_7
01/08/2008;133.87;1;8;2008;2008_8
01/09/2008;132.6;1;9;2008;2008_9
01/10/2008;132.8;1;10;2008;2008_10
01/11/2008;124.58;1;11;2008;2008_11
01/12/2008;118.9;1;12;2008;2008_12
01/01/2009;115.2;1;1;2009;2009_1
01/02/2009;115.26;1;2;2009;2009_2
01/03/2009;127.81;1;3;2009;2009_3
01/04/2009;123.09;1;4;2009;2009_4
01/05/2009;124.41;1;5;2009;2009_5
