;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
2004;98.59;99.45;111.98;107.36;106.03;107.0;111.47;110.65;109.21;108.89;109.59;107.56
2005;103.52;104.0;115.42;112.35;110.86;111.5;113.15;115.15;110.95;111.33;111.73;111.25
2006;108.55;107.8;119.09;112.61;117.19;114.4;119.41;121.06;116.21;119.33;118.67;116.3
2007;114.79;113.33;125.11;120.29;123.9;122.38;127.85;129.05;123.24;129.17;125.88;122.43
2008;121.86;121.91;128.99;129.48;128.92;130.59;136.53;133.87;132.6;132.8;124.58;118.9
2009;115.2;115.26;127.81;123.09;124.41;125.61;131.44;130.7;129.81;132.48;129.62;129.23
2010;125.81;127.61;143.44;136.87;136.52;136.09;141.64;141.55;139.46;139.33;139.68;136.69
2011;132.66;136.18;144.93;139.89;143.23;141.75;145.19;147.51;142.3;142.02;141.87;139.23
2012;133.34;135.35;146.35;139.85;144.56;142.28;147.46;149.91;141.6;147.71;144.15;139.52
2013;139.32;136.14;148.01;149.79;147.03;144.87;152.13;151.81;147.27;151.9;147.79;145.77
2014;142.72;143.53;149.03;147.69;147.14;140.88;149.85;148.27;148.12;149.7;144.92;145.48
2015;138.73;136.55;149.5;142.43;139.81;138.53;143.15;140.83;138.07;140.19;135.93;136.22
2016;128.26;130.81;140.29;136.03;133.56;135.27;136.7;138.17;133.88;132.74;132.37;133.32
2017;128.47;129.39;141.9;133.76;135.99;134.89;138.43;140.14;134.85;136.06;135.08;135.77
2018;132.12;129.94;141.57;139.08;132.29;136.96;141.08;143.43;135.78;139.86;137.67;136.34
2019;133.57;133.92;139.04;139.7;139.41;135.13;143.15;141.95;138.33;142.94;138.88;137.43
2020;133.92;134.36;136.03;118.32;119.45;125.8;135.81;135.61;137.09;139.8;138.14;139.27
2021;131.12;134.17;144.72;139.28;137.69;137.91;143.07;141.97;138.78;138.02;139.75;141.61
2022;131.55;136.57;149.17;142.8;142.76;142.35;149.5;149.6;144.45;142.37;140.82;142.74
